,Region,Total_Amount,TRF,Opportunity_Owner,Delivery_Year,Delivery_Quarter,"Pricing, Delivery_Terms_Approved","Pricing, Delivery_Terms_Quote_Appr",Decision,Promedio,Lag_1,Delta
11359,EMEA,11.413018799994866,0,Person_Name_4,2018,Q1,0,0,0,14.12784393178772,13.288036542085235,16.163883288009334
11440,EMEA,12.56269028157684,1,Person_Name_4,2018,Q1,1,1,0,14.12784393178772,13.288036542085235,16.163883288009334
11539,EMEA,12.361794322837282,1,Person_Name_4,2018,Q1,1,1,1,14.12784393178772,13.288036542085235,16.163883288009334
12049,EMEA,12.666543401606406,1,Person_Name_4,2018,Q1,1,1,0,14.12784393178772,13.288036542085235,16.163883288009334
12057,EMEA,10.274795903992798,0,Person_Name_4,2018,Q1,0,0,1,14.12784393178772,13.288036542085235,16.163883288009334
12058,EMEA,11.257326191265262,0,Person_Name_4,2018,Q1,0,0,1,14.12784393178772,13.288036542085235,16.163883288009334
12094,EMEA,12.954606045520793,1,Person_Name_4,2018,Q1,0,1,0,14.12784393178772,13.288036542085235,16.163883288009334
12111,EMEA,12.954606045520793,1,Person_Name_4,2018,Q1,1,1,0,14.12784393178772,13.288036542085235,16.163883288009334
12203,EMEA,11.956329214729118,0,Person_Name_4,2018,Q1,1,1,1,14.12784393178772,13.288036542085235,16.163883288009334
12204,EMEA,11.263182034169173,0,Person_Name_4,2018,Q1,1,1,1,14.12784393178772,13.288036542085235,16.163883288009334
12260,EMEA,12.60248691811792,1,Person_Name_4,2018,Q1,1,1,0,14.12784393178772,13.288036542085235,16.163883288009334
12264,EMEA,12.423230317159586,1,Person_Name_4,2018,Q1,1,1,0,14.12784393178772,13.288036542085235,16.163883288009334
12825,EMEA,8.10415195679994,0,Person_Name_4,2018,Q1,1,1,0,14.12784393178772,13.288036542085235,16.163883288009334
12836,EMEA,8.10415195679994,0,Person_Name_4,2018,Q1,1,1,1,14.12784393178772,13.288036542085235,16.163883288009334
12840,EMEA,12.470202849807693,1,Person_Name_4,2018,Q1,1,1,0,14.12784393178772,13.288036542085235,16.163883288009334
12860,EMEA,14.104042444221994,3,Person_Name_4,2018,Q1,0,1,0,14.12784393178772,13.288036542085235,16.163883288009334
12915,EMEA,11.495575826635115,0,Person_Name_4,2018,Q1,1,1,0,14.12784393178772,13.288036542085235,16.163883288009334
12935,EMEA,14.908207585922934,7,Person_Name_4,2018,Q1,0,1,0,14.12784393178772,13.288036542085235,16.163883288009334
12974,EMEA,9.753116595548276,0,Person_Name_4,2018,Q1,0,0,1,14.12784393178772,13.288036542085235,16.163883288009334
13071,EMEA,9.865616278480218,0,Person_Name_4,2018,Q1,1,1,1,14.12784393178772,13.288036542085235,16.163883288009334
872,EMEA,12.671479789604872,1,Person_Name_4,2018,Q2,0,1,0,13.719743166906888,14.12784393178772,16.038410391509757
9327,EMEA,13.500759144489397,2,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
9646,EMEA,14.383661163137067,5,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
9647,EMEA,14.383466831434793,5,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
9673,EMEA,12.849372853695538,1,Person_Name_4,2018,Q2,0,1,1,13.719743166906888,14.12784393178772,16.038410391509757
9677,EMEA,13.765663585569692,2,Person_Name_4,2018,Q2,0,1,0,13.719743166906888,14.12784393178772,16.038410391509757
9766,EMEA,16.249864921645,30,Person_Name_4,2018,Q2,0,1,0,13.719743166906888,14.12784393178772,16.038410391509757
10006,EMEA,15.253573144424154,10,Person_Name_4,2018,Q2,0,1,0,13.719743166906888,14.12784393178772,16.038410391509757
10626,EMEA,12.567877751406183,1,Person_Name_4,2018,Q2,0,1,1,13.719743166906888,14.12784393178772,16.038410391509757
11148,EMEA,13.656803061600655,2,Person_Name_4,2018,Q2,0,0,0,13.719743166906888,14.12784393178772,16.038410391509757
11421,EMEA,12.115896265197387,0,Person_Name_4,2018,Q2,0,1,0,13.719743166906888,14.12784393178772,16.038410391509757
11432,EMEA,13.720456745295087,2,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
11433,EMEA,13.415382930131436,2,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
11519,EMEA,13.009743241017242,1,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
11561,EMEA,12.666176495769975,1,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
11722,EMEA,12.560068477451109,1,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
11863,EMEA,14.186193718065063,4,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
12501,EMEA,13.237711450945161,1,Person_Name_4,2018,Q2,0,1,0,13.719743166906888,14.12784393178772,16.038410391509757
12505,EMEA,13.237711450945161,1,Person_Name_4,2018,Q2,0,1,0,13.719743166906888,14.12784393178772,16.038410391509757
12506,EMEA,12.544564270385216,1,Person_Name_4,2018,Q2,0,1,0,13.719743166906888,14.12784393178772,16.038410391509757
12523,EMEA,14.839454067255684,7,Person_Name_4,2018,Q2,0,1,0,13.719743166906888,14.12784393178772,16.038410391509757
12669,EMEA,12.506797878676558,1,Person_Name_4,2018,Q2,0,1,0,13.719743166906888,14.12784393178772,16.038410391509757
12694,EMEA,12.641701955113053,1,Person_Name_4,2018,Q2,0,0,1,13.719743166906888,14.12784393178772,16.038410391509757
12837,EMEA,12.60351944273211,1,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
12838,EMEA,13.529440785058767,2,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
12878,EMEA,13.810994877609247,3,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
12912,EMEA,14.315547118539447,4,Person_Name_4,2018,Q2,0,1,1,13.719743166906888,14.12784393178772,16.038410391509757
12913,EMEA,13.586164089525456,2,Person_Name_4,2018,Q2,0,1,1,13.719743166906888,14.12784393178772,16.038410391509757
12936,EMEA,14.146003220369106,3,Person_Name_4,2018,Q2,0,1,0,13.719743166906888,14.12784393178772,16.038410391509757
12972,EMEA,10.708117966603929,0,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
12973,EMEA,13.54643186458613,2,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
13020,EMEA,12.590692449083106,1,Person_Name_4,2018,Q2,0,1,1,13.719743166906888,14.12784393178772,16.038410391509757
13035,EMEA,10.759558424416728,0,Person_Name_4,2018,Q2,0,1,1,13.719743166906888,14.12784393178772,16.038410391509757
13037,EMEA,12.956783001752948,1,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
13072,EMEA,12.614321375764924,1,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
13074,EMEA,14.22921110297873,4,Person_Name_4,2018,Q2,0,1,1,13.719743166906888,14.12784393178772,16.038410391509757
13133,EMEA,15.12780225388547,10,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
13138,EMEA,14.094754063147263,4,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
13171,EMEA,9.15939701635292,0,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
13184,EMEA,11.104075258877323,0,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
13185,EMEA,10.27902424010232,0,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
13186,EMEA,8.078176470396679,0,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
13207,EMEA,11.645034393246874,0,Person_Name_4,2018,Q2,0,1,0,13.719743166906888,14.12784393178772,16.038410391509757
13208,EMEA,10.706694400177051,0,Person_Name_4,2018,Q2,0,1,0,13.719743166906888,14.12784393178772,16.038410391509757
13220,EMEA,11.168187208746945,0,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
13252,EMEA,12.64032927130108,1,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
13299,EMEA,13.299669628551824,1,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
13470,EMEA,10.812202157902151,0,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
13488,EMEA,12.623949162464056,1,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
13489,EMEA,12.625940533848981,1,Person_Name_4,2018,Q2,1,1,0,13.719743166906888,14.12784393178772,16.038410391509757
13560,EMEA,11.510405793261917,0,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
13887,EMEA,10.689599835809817,0,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
13888,EMEA,11.645034393246874,0,Person_Name_4,2018,Q2,1,1,1,13.719743166906888,14.12784393178772,16.038410391509757
9678,EMEA,13.738017487825811,2,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
10627,EMEA,9.696198126522171,0,Person_Name_4,2018,Q3,0,1,1,13.981657501534128,13.719743166906888,16.11449672547601
11420,EMEA,13.032186997071543,1,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
11809,EMEA,15.337616951259625,13,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
11810,EMEA,15.817696052497988,21,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
11811,EMEA,14.270115769006159,4,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
11812,EMEA,13.153803903238648,1,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
11813,EMEA,14.591072630342811,6,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
11814,EMEA,14.16725838356645,4,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
12326,EMEA,12.53897738333087,1,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
12372,EMEA,11.82385129605215,0,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
12502,EMEA,12.544564270385216,1,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
12503,EMEA,13.237711450945161,1,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
12504,EMEA,13.237711450945161,1,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
12658,EMEA,12.569012747316327,1,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
12861,EMEA,13.623353914876242,2,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
12877,EMEA,13.810994877609247,3,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
12914,EMEA,12.513907284042423,1,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13137,EMEA,13.916290456093765,3,Person_Name_4,2018,Q3,0,1,1,13.981657501534128,13.719743166906888,16.11449672547601
13139,EMEA,15.054444469313818,10,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13177,EMEA,14.446460155252298,5,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13178,EMEA,14.43825887909929,5,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13209,EMEA,12.52391891945667,1,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13222,EMEA,13.114097357802258,1,Person_Name_4,2018,Q3,1,1,1,13.981657501534128,13.719743166906888,16.11449672547601
13253,EMEA,12.48385493897602,1,Person_Name_4,2018,Q3,1,1,1,13.981657501534128,13.719743166906888,16.11449672547601
13255,EMEA,12.409363428291153,1,Person_Name_4,2018,Q3,1,1,1,13.981657501534128,13.719743166906888,16.11449672547601
13314,EMEA,14.780814400581997,7,Person_Name_4,2018,Q3,0,0,1,13.981657501534128,13.719743166906888,16.11449672547601
13316,EMEA,16.407771047918118,38,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13317,EMEA,15.249063553918178,12,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13492,EMEA,13.188032782289259,1,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13572,EMEA,12.13140048325113,0,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13740,EMEA,15.054444469313818,10,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13741,EMEA,14.260714994721452,5,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13742,EMEA,14.396228548549967,6,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13743,EMEA,13.50480005490281,2,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13744,EMEA,12.811652874342865,1,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13745,EMEA,14.106564314894195,4,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13746,EMEA,13.821261091904635,3,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13840,EMEA,13.85710345526261,3,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13874,EMEA,13.574859245695182,2,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13875,EMEA,13.315457946358347,2,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
13957,EMEA,13.0574634309605,2,Person_Name_4,2018,Q3,1,1,1,13.981657501534128,13.719743166906888,16.11449672547601
13958,EMEA,12.83887569618215,1,Person_Name_4,2018,Q3,1,1,1,13.981657501534128,13.719743166906888,16.11449672547601
14097,EMEA,12.50405498759941,1,Person_Name_4,2018,Q3,0,1,1,13.981657501534128,13.719743166906888,16.11449672547601
14132,EMEA,13.104013238735632,1,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
14133,EMEA,13.104180058320638,1,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
14134,EMEA,13.104013238735632,1,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
14135,EMEA,13.104180058320638,1,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
14165,EMEA,13.605724089808398,2,Person_Name_4,2018,Q3,1,1,1,13.981657501534128,13.719743166906888,16.11449672547601
14212,EMEA,12.552373564870217,1,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
14304,EMEA,10.25677739849012,0,Person_Name_4,2018,Q3,1,1,1,13.981657501534128,13.719743166906888,16.11449672547601
14305,EMEA,10.23968296513082,0,Person_Name_4,2018,Q3,1,1,1,13.981657501534128,13.719743166906888,16.11449672547601
14306,EMEA,10.109281465515226,0,Person_Name_4,2018,Q3,1,1,1,13.981657501534128,13.719743166906888,16.11449672547601
14307,EMEA,8.465017929262064,0,Person_Name_4,2018,Q3,1,1,1,13.981657501534128,13.719743166906888,16.11449672547601
14321,EMEA,11.338295253798929,0,Person_Name_4,2018,Q3,1,1,1,13.981657501534128,13.719743166906888,16.11449672547601
14373,EMEA,14.850469533582501,9,Person_Name_4,2018,Q3,1,1,1,13.981657501534128,13.719743166906888,16.11449672547601
14398,EMEA,11.37042756452277,0,Person_Name_4,2018,Q3,1,1,1,13.981657501534128,13.719743166906888,16.11449672547601
14399,EMEA,11.206404550631866,0,Person_Name_4,2018,Q3,1,1,1,13.981657501534128,13.719743166906888,16.11449672547601
14467,EMEA,11.125202038338221,0,Person_Name_4,2018,Q3,0,0,1,13.981657501534128,13.719743166906888,16.11449672547601
14659,EMEA,14.868952270094862,10,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
14672,EMEA,10.483550717854909,0,Person_Name_4,2018,Q3,0,0,1,13.981657501534128,13.719743166906888,16.11449672547601
14673,EMEA,10.123466100507182,0,Person_Name_4,2018,Q3,0,0,1,13.981657501534128,13.719743166906888,16.11449672547601
14687,EMEA,13.900943114272186,3,Person_Name_4,2018,Q3,0,0,0,13.981657501534128,13.719743166906888,16.11449672547601
14693,EMEA,10.353627224480038,0,Person_Name_4,2018,Q3,0,0,1,13.981657501534128,13.719743166906888,16.11449672547601
14700,EMEA,14.313600880945897,5,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
14701,EMEA,14.325253515859023,5,Person_Name_4,2018,Q3,1,1,0,13.981657501534128,13.719743166906888,16.11449672547601
14753,EMEA,12.240682746125772,1,Person_Name_4,2018,Q3,0,0,0,13.981657501534128,13.719743166906888,16.11449672547601
14756,EMEA,11.307523595132176,0,Person_Name_4,2018,Q3,0,0,0,13.981657501534128,13.719743166906888,16.11449672547601
15000,EMEA,9.384938429186798,0,Person_Name_4,2018,Q3,0,1,0,13.981657501534128,13.719743166906888,16.11449672547601
9679,EMEA,13.485703559211823,2,Person_Name_4,2018,Q4,0,1,0,12.89316268222099,13.981657501534128,16.002554832264007
11088,EMEA,14.002018495873727,3,Person_Name_4,2018,Q4,0,0,0,12.89316268222099,13.981657501534128,16.002554832264007
12542,EMEA,15.870297196889588,23,Person_Name_4,2018,Q4,0,1,0,12.89316268222099,13.981657501534128,16.002554832264007
12638,EMEA,12.867594668531162,1,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
12862,EMEA,14.79718962478194,8,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
12863,EMEA,15.120416634653132,10,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
12864,EMEA,12.346057389170245,1,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
13221,EMEA,12.015485069134149,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
13254,EMEA,10.916023027374385,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
13313,EMEA,12.536625207902079,1,Person_Name_4,2018,Q4,0,0,1,12.89316268222099,13.981657501534128,16.002554832264007
13837,EMEA,15.375088553497466,14,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
13838,EMEA,14.568890641275816,6,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
13839,EMEA,13.863731553044849,3,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14156,EMEA,12.129045667220238,1,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14157,EMEA,12.346057389170245,1,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14158,EMEA,12.374665233589818,1,Person_Name_4,2018,Q4,0,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14159,EMEA,12.336758086021964,1,Person_Name_4,2018,Q4,0,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14164,EMEA,7.824980574016068,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
14257,EMEA,12.121681355839371,0,Person_Name_4,2018,Q4,0,0,0,12.89316268222099,13.981657501534128,16.002554832264007
14258,EMEA,12.437534305257849,1,Person_Name_4,2018,Q4,0,0,0,12.89316268222099,13.981657501534128,16.002554832264007
14310,EMEA,12.27147840581964,1,Person_Name_4,2018,Q4,0,1,1,12.89316268222099,13.981657501534128,16.002554832264007
14763,EMEA,13.993378870016496,4,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14790,EMEA,10.546729619476439,0,Person_Name_4,2018,Q4,0,0,1,12.89316268222099,13.981657501534128,16.002554832264007
14930,EMEA,13.949198339921848,4,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14931,EMEA,14.288989718672443,6,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14932,EMEA,13.62345670564572,3,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14933,EMEA,13.623123483383392,3,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14991,EMEA,13.910951354237897,4,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14992,EMEA,13.217804184312925,2,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14993,EMEA,12.528087528214796,1,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14994,EMEA,12.922817174463413,1,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14995,EMEA,12.922817174463413,1,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
14999,EMEA,12.247139310116268,1,Person_Name_4,2018,Q4,0,1,0,12.89316268222099,13.981657501534128,16.002554832264007
15017,EMEA,11.308869671523336,0,Person_Name_4,2018,Q4,0,0,0,12.89316268222099,13.981657501534128,16.002554832264007
15018,EMEA,13.400345052766896,2,Person_Name_4,2018,Q4,0,0,0,12.89316268222099,13.981657501534128,16.002554832264007
15071,EMEA,13.559779085318596,2,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
15116,EMEA,10.301376534136159,0,Person_Name_4,2018,Q4,0,0,1,12.89316268222099,13.981657501534128,16.002554832264007
15165,EMEA,12.276414956114497,1,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
15234,EMEA,12.094675963821725,1,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15235,EMEA,11.34090417779373,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15264,EMEA,11.102863871691026,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15265,EMEA,11.102863871691026,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15271,EMEA,9.987113831541016,0,Person_Name_4,2018,Q4,0,1,0,12.89316268222099,13.981657501534128,16.002554832264007
15272,EMEA,12.40181622265577,1,Person_Name_4,2018,Q4,0,1,0,12.89316268222099,13.981657501534128,16.002554832264007
15285,EMEA,11.828777414388206,0,Person_Name_4,2018,Q4,0,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15291,EMEA,11.017540025692115,0,Person_Name_4,2018,Q4,0,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15292,EMEA,12.664638257788155,1,Person_Name_4,2018,Q4,0,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15316,EMEA,10.61437641457223,0,Person_Name_4,2018,Q4,0,0,1,12.89316268222099,13.981657501534128,16.002554832264007
15318,EMEA,11.259514375945814,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15320,EMEA,11.046774405039983,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15322,EMEA,12.087816841886614,1,Person_Name_4,2018,Q4,0,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15323,EMEA,11.028425266371785,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15345,EMEA,9.738217784124393,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15346,EMEA,9.920366793251626,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15347,EMEA,10.592038247925036,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15351,EMEA,10.020320136656515,0,Person_Name_4,2018,Q4,0,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15352,EMEA,10.46345327923584,0,Person_Name_4,2018,Q4,0,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15353,EMEA,9.215794222658646,0,Person_Name_4,2018,Q4,0,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15361,EMEA,11.957961224995962,1,Person_Name_4,2018,Q4,0,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15362,EMEA,11.102863871691026,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15405,EMEA,11.138900882696383,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15407,EMEA,10.546729619476439,0,Person_Name_4,2018,Q4,0,0,1,12.89316268222099,13.981657501534128,16.002554832264007
15408,EMEA,10.647166237395222,0,Person_Name_4,2018,Q4,0,0,1,12.89316268222099,13.981657501534128,16.002554832264007
15423,EMEA,12.30598506060291,1,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
15448,EMEA,12.587219445987131,1,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
15452,EMEA,11.276608809305115,0,Person_Name_4,2018,Q4,0,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15453,EMEA,10.445753702136438,0,Person_Name_4,2018,Q4,0,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15454,EMEA,11.046774405039983,0,Person_Name_4,2018,Q4,0,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15455,EMEA,10.49854459904711,0,Person_Name_4,2018,Q4,0,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15476,EMEA,9.422613251052988,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15531,EMEA,9.614985143700444,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15537,EMEA,11.61586893692995,0,Person_Name_4,2018,Q4,0,1,0,12.89316268222099,13.981657501534128,16.002554832264007
15558,EMEA,11.102863871691026,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15559,EMEA,11.102863871691026,0,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15562,EMEA,13.0293661207299,1,Person_Name_4,2018,Q4,1,1,1,12.89316268222099,13.981657501534128,16.002554832264007
15568,EMEA,11.461674274959433,0,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
15569,EMEA,12.346057389170245,1,Person_Name_4,2018,Q4,0,1,0,12.89316268222099,13.981657501534128,16.002554832264007
15583,EMEA,12.145386693708092,1,Person_Name_4,2018,Q4,1,1,0,12.89316268222099,13.981657501534128,16.002554832264007
